epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8741.63,0.79703,0.89083,1.25506,0.62947,0.54265,0.6056,0.44569,1.16872,1.44371,1.64531,0.000660045,0.000660045,0.000660045
43,8949.5,0.78628,0.83153,1.23434,0.60829,0.55662,0.57908,0.44319,1.10585,1.43724,1.58659,0.000649046,0.000649046,0.000649046
44,9157.78,0.77052,0.86689,1.23142,0.66257,0.51235,0.59083,0.4496,1.09604,1.44795,1.57639,0.000638047,0.000638047,0.000638047
45,9366.28,0.76919,0.83582,1.23286,0.56331,0.59105,0.60548,0.45358,1.09717,1.42915,1.58384,0.000627048,0.000627048,0.000627048
46,9574.49,0.73223,0.80204,1.19335,0.71305,0.49965,0.60712,0.46787,1.09046,1.40359,1.59976,0.000616049,0.000616049,0.000616049
47,9783.74,0.71877,0.80886,1.18599,0.66583,0.52305,0.59344,0.4478,1.1237,1.41967,1.62083,0.000605051,0.000605051,0.000605051
48,9995.1,0.74532,0.83945,1.21284,0.57097,0.53166,0.56309,0.44147,1.10164,1.47516,1.58385,0.000594052,0.000594052,0.000594052
49,10208,0.7155,0.77332,1.18586,0.68603,0.53907,0.60089,0.44878,1.10594,1.45338,1.61602,0.000583053,0.000583053,0.000583053
50,10416.1,0.7165,0.77722,1.18948,0.54557,0.53792,0.55947,0.42052,1.15967,1.59562,1.71084,0.000572054,0.000572054,0.000572054
51,10624,0.70608,0.77451,1.19351,0.72739,0.48035,0.5728,0.43539,1.07128,1.44666,1.56249,0.000561055,0.000561055,0.000561055
52,10832.2,0.6951,0.73258,1.16451,0.70658,0.54125,0.62354,0.4746,1.08586,1.34349,1.5921,0.000550056,0.000550056,0.000550056
53,11042.2,0.68231,0.71867,1.16059,0.57483,0.59059,0.58634,0.44403,1.12182,1.48245,1.62221,0.000539057,0.000539057,0.000539057
54,11252.5,0.68506,0.71023,1.16043,0.67088,0.52029,0.59982,0.45462,1.13519,1.48586,1.62852,0.000528058,0.000528058,0.000528058
55,11460.8,0.66726,0.73332,1.1576,0.7112,0.5348,0.60387,0.45194,1.12253,1.40781,1.63052,0.000517059,0.000517059,0.000517059
56,11668.5,0.68766,0.73983,1.16964,0.55477,0.58433,0.59944,0.46315,1.12071,1.45512,1.63148,0.00050606,0.00050606,0.00050606
57,11876.4,0.64413,0.65367,1.13865,0.69481,0.55973,0.62339,0.48284,1.06621,1.42573,1.60966,0.000495062,0.000495062,0.000495062
58,12084,0.65588,0.69612,1.13672,0.59102,0.59613,0.59246,0.43949,1.12942,1.53552,1.6264,0.000484063,0.000484063,0.000484063
59,12290.7,0.62385,0.64172,1.12307,0.55968,0.59254,0.56405,0.42885,1.11123,1.61614,1.66859,0.000473064,0.000473064,0.000473064
60,12497.3,0.64886,0.66396,1.14993,0.57344,0.64745,0.61384,0.45843,1.11973,1.43866,1.66006,0.000462065,0.000462065,0.000462065
61,12703.8,0.62988,0.65054,1.1177,0.67206,0.50618,0.60381,0.46352,1.11946,1.48416,1.63492,0.000451066,0.000451066,0.000451066
62,12910.3,0.62013,0.65341,1.11674,0.6731,0.53798,0.60342,0.46649,1.05314,1.39952,1.54585,0.000440067,0.000440067,0.000440067
63,13116.6,0.61756,0.61649,1.12529,0.67993,0.52236,0.57429,0.44758,1.07384,1.56814,1.60955,0.000429068,0.000429068,0.000429068
64,13323.5,0.61757,0.60895,1.1192,0.68006,0.50052,0.57061,0.44603,1.06379,1.55046,1.58487,0.000418069,0.000418069,0.000418069
65,13530.4,0.60903,0.58854,1.12502,0.59154,0.5903,0.59149,0.45439,1.09441,1.48737,1.61797,0.00040707,0.00040707,0.00040707
66,13736.9,0.58665,0.59571,1.11196,0.64359,0.554,0.58992,0.46438,1.06673,1.48543,1.57921,0.000396071,0.000396071,0.000396071
67,13943.5,0.6155,0.61765,1.1154,0.52779,0.62513,0.56585,0.4341,1.09128,1.60717,1.60103,0.000385073,0.000385073,0.000385073
68,14150.1,0.59367,0.57392,1.10931,0.59536,0.5735,0.60461,0.46547,1.10829,1.51437,1.66197,0.000374074,0.000374074,0.000374074
69,14356.8,0.59839,0.60503,1.10711,0.64611,0.54071,0.601,0.45526,1.10333,1.41643,1.64495,0.000363075,0.000363075,0.000363075
70,14563.9,0.6028,0.58552,1.11127,0.62209,0.56762,0.59338,0.46479,1.06745,1.50147,1.57471,0.000352076,0.000352076,0.000352076
71,14771.4,0.58453,0.56779,1.09218,0.6587,0.53726,0.60089,0.4674,1.09281,1.57438,1.62051,0.000341077,0.000341077,0.000341077
72,14979.8,0.55715,0.54365,1.07266,0.69929,0.55083,0.62417,0.47956,1.09924,1.44919,1.65273,0.000330078,0.000330078,0.000330078
73,15189.1,0.57745,0.5776,1.0888,0.6887,0.55466,0.61004,0.47504,1.11437,1.53386,1.67134,0.000319079,0.000319079,0.000319079
74,15397.7,0.58018,0.57008,1.09698,0.68125,0.53394,0.61167,0.46669,1.11473,1.43953,1.65213,0.00030808,0.00030808,0.00030808
75,15605.8,0.56815,0.55645,1.08516,0.65065,0.60865,0.62921,0.48737,1.10353,1.41352,1.63978,0.000297081,0.000297081,0.000297081
76,15814.1,0.55887,0.54148,1.08119,0.62278,0.55083,0.60497,0.46862,1.08138,1.4376,1.60551,0.000286083,0.000286083,0.000286083
77,16022.2,0.53245,0.5253,1.06325,0.56296,0.61183,0.61035,0.46333,1.13717,1.42563,1.71292,0.000275084,0.000275084,0.000275084
78,16230.5,0.53775,0.51269,1.06364,0.61837,0.61006,0.6273,0.47085,1.13738,1.51114,1.71751,0.000264085,0.000264085,0.000264085
79,16438.1,0.54995,0.52643,1.07386,0.71923,0.52074,0.62061,0.47899,1.1037,1.47347,1.67038,0.000253086,0.000253086,0.000253086
80,16646,0.54964,0.5194,1.07154,0.62278,0.55085,0.60345,0.46135,1.09543,1.518,1.65424,0.000242087,0.000242087,0.000242087
81,16854.9,0.53078,0.50103,1.06625,0.59745,0.61324,0.62029,0.47053,1.09813,1.4987,1.67461,0.000231088,0.000231088,0.000231088
82,17062.4,0.52432,0.49087,1.05852,0.58043,0.64123,0.62486,0.48096,1.10555,1.41117,1.67214,0.000220089,0.000220089,0.000220089
83,17269.5,0.52307,0.48125,1.06201,0.76994,0.4897,0.6064,0.46939,1.09969,1.51007,1.65075,0.00020909,0.00020909,0.00020909
84,17477.7,0.4986,0.47732,1.03836,0.6409,0.55121,0.61054,0.46448,1.13428,1.53161,1.68199,0.000198091,0.000198091,0.000198091
85,17685.2,0.51834,0.47906,1.05458,0.73452,0.51309,0.60852,0.46402,1.10558,1.56851,1.65871,0.000187092,0.000187092,0.000187092
86,17892.4,0.50853,0.49021,1.04973,0.69707,0.52896,0.61831,0.4629,1.12149,1.50568,1.67993,0.000176094,0.000176094,0.000176094
87,18099.2,0.52449,0.49298,1.05059,0.64181,0.56936,0.61728,0.47011,1.09445,1.49641,1.65002,0.000165095,0.000165095,0.000165095
88,18317.3,0.50355,0.46472,1.04818,0.73699,0.50071,0.61202,0.47139,1.08178,1.44774,1.63435,0.000154096,0.000154096,0.000154096
89,18521.3,0.49269,0.45984,1.03418,0.7732,0.48165,0.62397,0.47598,1.10115,1.46888,1.67298,0.000143097,0.000143097,0.000143097
90,18726.2,0.49417,0.45969,1.03642,0.67395,0.51964,0.61437,0.47018,1.10654,1.48974,1.68355,0.000132098,0.000132098,0.000132098
91,18966.5,0.39534,0.31224,0.95904,0.74851,0.52463,0.60149,0.45558,1.11306,1.54193,1.69403,0.000121099,0.000121099,0.000121099
92,19171.9,0.3739,0.29674,0.9419,0.71668,0.52834,0.62345,0.477,1.10052,1.45196,1.67081,0.0001101,0.0001101,0.0001101
93,19376.3,0.36617,0.28225,0.93254,0.68786,0.54447,0.61722,0.47393,1.10222,1.51092,1.67935,9.91012e-05,9.91012e-05,9.91012e-05
94,19581.2,0.36279,0.27958,0.93531,0.55623,0.59993,0.59736,0.46509,1.0962,1.55989,1.66431,8.81023e-05,8.81023e-05,8.81023e-05
95,19785.1,0.35133,0.26754,0.92811,0.7158,0.52346,0.6027,0.46652,1.11221,1.53843,1.6815,7.71034e-05,7.71034e-05,7.71034e-05
96,19988.8,0.35461,0.28316,0.9383,0.66396,0.56719,0.62062,0.47796,1.10808,1.52283,1.69322,6.61045e-05,6.61045e-05,6.61045e-05
97,20192.9,0.35795,0.26802,0.93016,0.66852,0.55185,0.62197,0.47423,1.10649,1.50295,1.69263,5.51056e-05,5.51056e-05,5.51056e-05
98,20397.3,0.34532,0.2663,0.92247,0.61953,0.58467,0.62294,0.47714,1.10291,1.51621,1.69003,4.41067e-05,4.41067e-05,4.41067e-05
99,20601.5,0.34017,0.26493,0.92012,0.68101,0.54373,0.61571,0.47605,1.11082,1.53929,1.70076,3.31078e-05,3.31078e-05,3.31078e-05
100,20805.7,0.34386,0.26414,0.92484,0.75248,0.50944,0.61969,0.47279,1.10796,1.5113,1.67238,2.21089e-05,2.21089e-05,2.21089e-05
