epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2597.59,0.98821,1.3274,1.34874,0.64419,0.50425,0.56771,0.40996,1.2138,1.6019,1.62466,0.000660045,0.000660045,0.000660045
43,2660.5,0.94848,1.25569,1.31231,0.65348,0.48832,0.55899,0.39527,1.23767,1.58605,1.67596,0.000649046,0.000649046,0.000649046
44,2725.37,0.95872,1.27208,1.3281,0.6637,0.48917,0.57939,0.42566,1.13005,1.5261,1.5562,0.000638047,0.000638047,0.000638047
45,2786.61,0.93563,1.26172,1.31857,0.56368,0.5652,0.58774,0.43526,1.12442,1.5365,1.52967,0.000627048,0.000627048,0.000627048
46,2847.79,0.92986,1.22111,1.30223,0.67353,0.55119,0.60705,0.44007,1.17576,1.48756,1.56865,0.000616049,0.000616049,0.000616049
47,2909.64,0.8965,1.19009,1.27578,0.60261,0.55114,0.58174,0.41815,1.25522,1.51772,1.69228,0.000605051,0.000605051,0.000605051
48,2971.02,0.92813,1.21099,1.3048,0.58703,0.5537,0.56471,0.40199,1.21589,1.58134,1.65921,0.000594052,0.000594052,0.000594052
49,3032.15,0.9093,1.18434,1.28873,0.64305,0.4905,0.57464,0.42174,1.14326,1.58667,1.55961,0.000583053,0.000583053,0.000583053
50,3093.4,0.91222,1.20214,1.28956,0.65497,0.50151,0.57716,0.42321,1.17355,1.55459,1.60251,0.000572054,0.000572054,0.000572054
51,3154.74,0.90803,1.20447,1.30033,0.7192,0.52889,0.60689,0.45691,1.11955,1.49047,1.54986,0.000561055,0.000561055,0.000561055
52,3215.89,0.88789,1.14011,1.26891,0.73143,0.5004,0.60665,0.44776,1.13213,1.48836,1.54173,0.000550056,0.000550056,0.000550056
53,3277.59,0.88882,1.11882,1.27871,0.65419,0.55241,0.60117,0.44307,1.12135,1.52529,1.53988,0.000539057,0.000539057,0.000539057
54,3338.67,0.89358,1.1234,1.28039,0.74467,0.535,0.61962,0.46944,1.12333,1.45656,1.53592,0.000528058,0.000528058,0.000528058
55,3402.31,0.87408,1.12069,1.26733,0.71903,0.55479,0.62883,0.46006,1.15567,1.41781,1.56164,0.000517059,0.000517059,0.000517059
56,3465.82,0.89127,1.1445,1.27479,0.59538,0.59708,0.59128,0.44605,1.09544,1.51763,1.50899,0.00050606,0.00050606,0.00050606
57,3530.69,0.84924,1.05605,1.25311,0.61226,0.56948,0.59489,0.4353,1.11514,1.46644,1.55272,0.000495062,0.000495062,0.000495062
58,3592.86,0.86505,1.10525,1.26608,0.62554,0.56709,0.59742,0.43689,1.11359,1.49822,1.52512,0.000484063,0.000484063,0.000484063
59,3655.16,0.84735,1.04616,1.24905,0.63683,0.56447,0.59544,0.44441,1.11552,1.51032,1.52041,0.000473064,0.000473064,0.000473064
60,3717.72,0.86552,1.067,1.2619,0.68409,0.57317,0.60095,0.44933,1.1283,1.46227,1.54955,0.000462065,0.000462065,0.000462065
61,3779.26,0.85554,1.06766,1.24626,0.6006,0.55697,0.57363,0.43464,1.13035,1.50198,1.52407,0.000451066,0.000451066,0.000451066
62,3841.32,0.82384,1.02185,1.22436,0.64877,0.5229,0.59754,0.44522,1.12858,1.46541,1.5322,0.000440067,0.000440067,0.000440067
63,3903.88,0.82742,1.00829,1.23429,0.6521,0.5312,0.60033,0.45599,1.11465,1.43037,1.52799,0.000429068,0.000429068,0.000429068
64,3965.39,0.84074,1.02859,1.23908,0.66639,0.50338,0.57798,0.43638,1.10026,1.486,1.52539,0.000418069,0.000418069,0.000418069
65,4027.19,0.83063,1.00307,1.24515,0.59389,0.57974,0.59733,0.45716,1.09375,1.48042,1.51544,0.00040707,0.00040707,0.00040707
66,4090.12,0.81276,0.99954,1.22996,0.63152,0.55716,0.60135,0.44969,1.11727,1.52322,1.52786,0.000396071,0.000396071,0.000396071
67,4151.64,0.83459,0.97985,1.22887,0.60883,0.5625,0.5644,0.42618,1.13239,1.53937,1.53687,0.000385073,0.000385073,0.000385073
68,4214.38,0.81192,0.9787,1.22949,0.58444,0.60215,0.56613,0.41806,1.16611,1.5449,1.6008,0.000374074,0.000374074,0.000374074
69,4275.77,0.82467,0.9962,1.22757,0.58263,0.59435,0.58368,0.43735,1.15431,1.45107,1.57727,0.000363075,0.000363075,0.000363075
70,4338.23,0.83648,0.97527,1.2306,0.56724,0.58448,0.59096,0.44859,1.15342,1.49665,1.54693,0.000352076,0.000352076,0.000352076
71,4400.6,0.8184,0.94584,1.21343,0.51945,0.60627,0.56963,0.43576,1.1372,1.49225,1.55976,0.000341077,0.000341077,0.000341077
72,4462.15,0.78309,0.93605,1.19492,0.59461,0.5866,0.58741,0.44525,1.11022,1.43987,1.54091,0.000330078,0.000330078,0.000330078
73,4523.97,0.82841,0.9692,1.23045,0.63838,0.60532,0.60372,0.45597,1.12098,1.44513,1.54713,0.000319079,0.000319079,0.000319079
74,4585.91,0.80653,0.96969,1.21467,0.57842,0.57843,0.57355,0.42755,1.14322,1.47121,1.55686,0.00030808,0.00030808,0.00030808
75,4648.3,0.79811,0.93172,1.20637,0.63368,0.53487,0.56942,0.43615,1.12785,1.56384,1.53086,0.000297081,0.000297081,0.000297081
76,4710.34,0.80921,0.94563,1.2159,0.55717,0.59741,0.55622,0.41847,1.11631,1.51322,1.52088,0.000286083,0.000286083,0.000286083
77,4772.12,0.77915,0.91787,1.19813,0.567,0.62593,0.59055,0.44411,1.13459,1.49297,1.53505,0.000275084,0.000275084,0.000275084
78,4834.61,0.78814,0.9029,1.19764,0.59876,0.57057,0.58784,0.43939,1.14628,1.50936,1.56336,0.000264085,0.000264085,0.000264085
79,4895.48,0.79715,0.90356,1.21209,0.64591,0.54292,0.5952,0.43442,1.15423,1.50354,1.57744,0.000253086,0.000253086,0.000253086
80,4957.24,0.79741,0.91442,1.20507,0.6235,0.58394,0.58966,0.4477,1.08079,1.49537,1.49089,0.000242087,0.000242087,0.000242087
81,5020.88,0.7868,0.92152,1.20392,0.63615,0.57505,0.60629,0.45426,1.12402,1.46679,1.55547,0.000231088,0.000231088,0.000231088
82,5082.71,0.76714,0.87384,1.18696,0.70144,0.54296,0.59991,0.4458,1.11282,1.47026,1.55703,0.000220089,0.000220089,0.000220089
83,5144.89,0.77733,0.88034,1.19889,0.63913,0.53705,0.60493,0.44973,1.10287,1.51394,1.54457,0.00020909,0.00020909,0.00020909
84,5206.42,0.763,0.85045,1.17874,0.72906,0.50394,0.58555,0.43742,1.11817,1.50199,1.54774,0.000198091,0.000198091,0.000198091
85,5268.2,0.77198,0.88049,1.18901,0.61507,0.56173,0.58685,0.43738,1.10631,1.50892,1.52113,0.000187092,0.000187092,0.000187092
86,5332.4,0.76221,0.85478,1.18248,0.58688,0.60079,0.58528,0.44362,1.11362,1.55301,1.53127,0.000176094,0.000176094,0.000176094
87,5397.58,0.7805,0.88078,1.18665,0.74507,0.4907,0.59666,0.45039,1.09559,1.50687,1.51835,0.000165095,0.000165095,0.000165095
88,5459.58,0.75343,0.84043,1.1804,0.57544,0.58608,0.58549,0.44288,1.09528,1.50097,1.50866,0.000154096,0.000154096,0.000154096
89,5521.18,0.76825,0.85595,1.18923,0.57363,0.60966,0.58798,0.43997,1.11119,1.52309,1.53193,0.000143097,0.000143097,0.000143097
90,5582.18,0.76148,0.83883,1.17734,0.56038,0.61062,0.58973,0.44163,1.11748,1.52709,1.54609,0.000132098,0.000132098,0.000132098
91,5675.57,0.67755,0.65664,1.13529,0.71121,0.52933,0.5863,0.44207,1.08949,1.52639,1.51214,0.000121099,0.000121099,0.000121099
92,5737.92,0.66111,0.63828,1.11504,0.69942,0.5289,0.60353,0.46026,1.07559,1.50221,1.52357,0.0001101,0.0001101,0.0001101
93,5798.65,0.63857,0.60948,1.09872,0.73598,0.50906,0.5974,0.45249,1.09242,1.50621,1.53193,9.91012e-05,9.91012e-05,9.91012e-05
94,5862.15,0.64341,0.60972,1.10204,0.73259,0.5151,0.58792,0.45207,1.10273,1.52239,1.52612,8.81023e-05,8.81023e-05,8.81023e-05
95,5922.73,0.6195,0.58636,1.09059,0.75797,0.50365,0.58407,0.448,1.08953,1.56359,1.54066,7.71034e-05,7.71034e-05,7.71034e-05
96,5984.47,0.61792,0.58962,1.09185,0.74648,0.50501,0.59903,0.45393,1.08745,1.52644,1.5399,6.61045e-05,6.61045e-05,6.61045e-05
97,6047.81,0.63427,0.57342,1.0929,0.74318,0.50834,0.59216,0.44932,1.08503,1.54746,1.52039,5.51056e-05,5.51056e-05,5.51056e-05
98,6109.57,0.61184,0.56851,1.07948,0.76657,0.51263,0.59127,0.45146,1.08639,1.53902,1.5198,4.41067e-05,4.41067e-05,4.41067e-05
99,6170.97,0.61809,0.57201,1.08437,0.76336,0.50716,0.59403,0.45211,1.08752,1.53335,1.53515,3.31078e-05,3.31078e-05,3.31078e-05
100,6231.01,0.62569,0.56541,1.09397,0.72209,0.51399,0.5908,0.45318,1.08656,1.5528,1.51686,2.21089e-05,2.21089e-05,2.21089e-05
